COD_CLASE;COD_MARCA;COD_MODELO;SEG
907;1;2;3
901;1;12;2
902;1;18;3
902;1;19;3
902;1;21;3
901;1;23;3
901;1;43;2
901;1;45;1
901;1;47;1
901;1;49;2
901;1;50;2
901;1;53;1
908;2;4;3
908;2;5;3
908;2;6;3
901;2;30;1
901;2;36;1
901;2;46;2
901;2;48;2
901;2;51;1
901;2;54;1
901;2;55;1
902;3;22;3
901;3;40;1
901;3;41;1
901;3;52;1
901;3;53;1
901;3;54;1
901;3;55;2
901;3;56;1
901;3;61;2
901;3;62;2
901;3;64;1
901;4;2;3
901;4;5;3
901;4;6;3
907;4;8;3
901;4;29;1
901;4;31;1
901;4;45;1
901;4;46;1
901;4;54;1
901;4;55;1
901;4;56;1
901;4;57;1
901;4;59;2
901;4;63;2
901;4;64;2
901;4;65;2
901;4;66;2
907;5;13;3
907;5;14;3
907;5;17;3
902;5;18;3
901;5;41;1
901;5;46;1
901;5;48;1
901;5;50;2
901;5;51;2
901;5;52;2
901;5;53;1
901;5;54;1
901;5;55;1
901;5;56;1
902;6;10;3
907;6;11;3
902;6;14;3
901;6;16;1
907;6;17;3
901;6;38;1
901;6;39;2
901;6;42;1
901;6;47;1
901;6;49;1
901;6;51;1
901;6;53;1
902;9;13;3
902;9;14;3
902;9;15;3
902;9;16;3
902;9;17;3
901;9;30;1
901;9;31;2
901;9;34;2
901;9;35;2
907;10;19;3
907;10;20;3
907;10;21;3
901;10;30;1
901;10;31;2
901;10;36;2
901;10;37;1
901;10;38;1
901;10;39;2
907;6;17;0
907;1;2;0
907;2;4;0
907;9;17;0
907;5;14;0
907;6;17;0